estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Zarate Brazo Largo,15,62.0000,55.0000,48.0000,14.0000,null,55.0000,null,55.0000
Alberdi,6,null,84.0000,null,null,null,84.0000,null,78.0000
Santa Rita,14,42.0000,100.0000,13.0000,29.0000,6.0000,94.0000,1.0000,93.0000
Rivadavia,20,null,null,null,null,null,null,null,null
America,0,32.0000,54.0000,10.0000,22.0000,null,54.0000,10.0000,54.0000
AUBASA LP-BA,8,425.0000,179.0000,187.0000,238.0000,68.0000,111.0000,79.0000,147.0000
Gutierrez,7,108.0000,55.0000,51.0000,57.0000,14.0000,41.0000,15.0000,49.0000
Lima,22,239.0000,134.0000,58.0000,181.0000,13.0000,121.0000,86.0000,97.0000
Alsina,13,53.0000,133.0000,17.0000,36.0000,7.0000,126.0000,7.0000,127.0000
Villa Luro,18,76.0000,152.0000,28.0000,48.0000,13.0000,139.0000,13.0000,85.0000
Lima,18,624.0000,422.0000,210.0000,414.0000,46.0000,376.0000,148.0000,330.0000
Cabildo,22,11.0000,10.0000,3.0000,8.0000,null,10.0000,4.0000,null
Alvear,6,283.0000,441.0000,174.0000,109.0000,115.0000,326.0000,47.0000,331.0000
Los Incas,21,26.0000,11.0000,18.0000,8.0000,null,11.0000,2.0000,11.0000
Gutierrez,13,23.0000,74.0000,3.0000,20.0000,6.0000,68.0000,3.0000,60.0000
Floresta,23,28.0000,74.0000,2.0000,26.0000,2.0000,72.0000,4.0000,74.0000
Zarate Brazo Largo,12,26.0000,56.0000,19.0000,7.0000,2.0000,54.0000,null,56.0000
Gutierrez,4,43.0000,25.0000,19.0000,24.0000,7.0000,18.0000,10.0000,22.0000
El Arco,7,166.0000,216.0000,92.0000,74.0000,8.0000,208.0000,30.0000,190.0000
Ovidio Lagos,3,14.0000,34.0000,3.0000,11.0000,3.0000,31.0000,null,34.0000
Dialogos,5,4.0000,10.0000,null,4.0000,1.0000,9.0000,null,10.0000
Floresta,14,32.0000,74.0000,7.0000,25.0000,7.0000,67.0000,4.0000,74.0000
Garay,14,37.0000,229.0000,11.0000,26.0000,1.0000,228.0000,1.0000,155.0000
Quilmes,5,70.0000,24.0000,33.0000,37.0000,8.0000,16.0000,13.0000,19.0000
La Bandera,7,180.0000,197.0000,145.0000,35.0000,19.0000,178.0000,19.0000,129.0000
