estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro_choco,q_cafes_local_algo_otros_sinbakery_negro_choco
Ovidio Lagos,12,null,null
DISC Caraffa,15,null,4.0000
Gral Paz Provincia,13,9.0000,27.0000
Santa Fe,13,2.0000,null
Alberdi,19,null,null
Trelles,17,4.0000,25.0000
Bonpland,1,5.0000,9.0000
Buen Ayre,14,19.0000,54.0000
Bulnes,8,1.0000,1.0000
Villa Luro,13,7.0000,22.0000
El Arco,19,3.0000,28.0000
Maschwitz,17,null,1.0000
AUBASA BA-LP,3,11.0000,7.0000
Bulnes,20,1.0000,1.0000
Fisherton,18,7.0000,16.0000
Dialogos,16,5.0000,null
El Club,12,7.0000,16.0000
Arroyo Seco,8,15.0000,7.0000
AUBASA LP-BA,0,18.0000,15.0000
Alsina,18,5.0000,null
Buen Ayre,17,19.0000,24.0000
Rosario Sur,1,null,null
Las Heras,23,2.0000,4.0000
San Isidro,6,1.0000,1.0000
Libertador,8,7.0000,36.0000
El Club,18,2.0000,20.0000
Garay,10,null,4.0000
Gutierrez,16,20.0000,4.0000
DISC Echeverria,19,null,null
La Bandera,14,4.0000,29.0000
Bulnes,13,null,1.0000
Ovidio Lagos,17,null,null
Dialogos,18,3.0000,2.0000
America,8,3.0000,null
Las Heras,1,3.0000,2.0000
Boulevard,9,2.0000,4.0000
Centenera,20,4.0000,null
Zarate,18,1.0000,null
Los Incas,14,3.0000,1.0000
Del Tejar,11,null,null
Santa Fe,20,2.0000,null
AUBASA BA-LP,8,19.0000,9.0000
Bulnes,21,1.0000,null
Laferrere,7,2.0000,1.0000
Las Heras,5,null,null
Gutierrez,18,7.0000,10.0000
Luis Viale,8,3.0000,3.0000
Arroyo Seco,7,6.0000,5.0000
Ovidio Lagos,1,null,null
Gral Paz Capital,14,13.0000,null
Floresta,19,null,null
Luis Viale,15,11.0000,17.0000
Maschwitz,14,null,5.0000
Gral Paz Capital,13,13.0000,null
Dialogos,11,3.0000,4.0000
Bulnes,19,null,3.0000
San Isidro,12,6.0000,3.0000
Los Incas,0,2.0000,null
AUBASA BA-LP,4,3.0000,5.0000
Maschwitz,2,null,null
Alsina,8,null,null
Gutierrez,0,7.0000,1.0000
La Carmela,20,5.0000,null
Olivos,16,5.0000,7.0000
El Arco,20,2.0000,20.0000
Gral Paz Capital,22,7.0000,null
Pilar,1,5.0000,null
Amanecer,3,null,null
Pilar,5,null,null
La Carmela,5,4.0000,null
Floresta,17,4.0000,null
Alsina,9,null,null
AUBASA BA-LP,19,36.0000,11.0000
Gutierrez,6,1.0000,null
Los Incas,9,2.0000,null
Gral Paz Provincia,7,4.0000,8.0000
Maipu,1,null,null
Fisherton,23,3.0000,null
Cabildo,1,null,4.0000
Del Tejar,1,2.0000,null
Alberdi,10,null,1.0000
Pilar,3,1.0000,null
Dialogos,17,4.0000,2.0000
Bonpland,20,null,7.0000
Ovidio Lagos,19,null,null
Boulevard,19,5.0000,5.0000
AUBASA LP-BA,15,48.0000,79.0000
Parque Sarmiento,13,7.0000,20.0000
Parque Sarmiento,2,null,2.0000
Santa Fe,14,2.0000,4.0000
Congreso,0,null,null
Gutierrez,14,5.0000,9.0000
Las Heras,19,null,9.0000
Emilio Castro,16,1.0000,3.0000
Maschwitz,19,null,2.0000
Lima,0,59.0000,16.0000
Alvear,4,4.0000,8.0000
Las Heras,13,1.0000,6.0000
Arroyo Seco,5,3.0000,4.0000
Las Heras,12,1.0000,5.0000
Trelles,8,4.0000,6.0000
Luis Viale,18,4.0000,21.0000
El Club,19,6.0000,17.0000
Santa Fe,10,null,null
Ovidio Lagos,22,null,null
Cabildo,13,2.0000,4.0000
Del Tejar,6,null,null
Bonpland,11,3.0000,6.0000
America,7,3.0000,null
AUBASA BA-LP,18,35.0000,21.0000
Alvear,13,6.0000,19.0000
Amanecer,11,5.0000,null
El Arco,9,2.0000,6.0000
Gral Paz Capital,5,1.0000,null
Villa Luro,23,12.0000,34.0000
Olivos,4,null,null
Alsina,11,1.0000,null
Zarate,13,3.0000,1.0000
El Club,23,3.0000,29.0000
Emilio Castro,15,4.0000,2.0000
Gral Paz Capital,18,19.0000,null
DISC Echeverria,23,null,null
America,14,4.0000,null
Florencio Varela,6,null,1.0000
Ovidio Lagos,2,null,null
America,13,2.0000,null
La Bandera,18,5.0000,23.0000
Santa Fe,17,3.0000,null
Ovidio Lagos,14,null,null
Santa Rita,22,null,1.0000
Santa Rita,10,null,7.0000
Zarate Brazo Largo,19,null,null
Garay,4,null,null
Alberdi,17,null,null
America,17,7.0000,null
Maipu,2,null,null
Buen Ayre,18,12.0000,29.0000
Disc Panamericana,20,null,null
AUBASA LP-BA,12,13.0000,17.0000
Bonpland,19,2.0000,9.0000
