estacion,hora,q_cafes_llevar_algo_leche_sinbakery,q_cafes_llevar_algo_otros_sinbakery,q_cafes_local_algo_leche_sinbakery,q_cafes_local_algo_otros_sinbakery
Fisherton,23,1.0000,26.0000,null,176.0000
DISC Echeverria,4,null,null,null,147.0000
Maipu,1,91.0000,44.0000,36.0000,207.0000
Pilar,3,35.0000,67.0000,24.0000,23.0000
Dialogos,17,202.0000,117.0000,177.0000,258.0000
Bonpland,20,87.0000,86.0000,68.0000,291.0000
Ovidio Lagos,19,29.0000,100.0000,24.0000,454.0000
Disc Panamericana,23,null,3.0000,null,null
Boulevard,19,104.0000,112.0000,97.0000,460.0000
Santa Fe,14,19.0000,38.0000,4.0000,48.0000
AUBASA LP-BA,15,269.0000,705.0000,448.0000,1350.0000
Parque Sarmiento,2,79.0000,12.0000,4.0000,21.0000
Parque Sarmiento,13,135.0000,45.0000,75.0000,217.0000
Gutierrez,14,28.0000,84.0000,65.0000,244.0000
Las Heras,19,54.0000,69.0000,22.0000,173.0000
Maschwitz,19,null,null,null,172.0000
Emilio Castro,16,55.0000,104.0000,21.0000,107.0000
Congreso,0,43.0000,85.0000,12.0000,115.0000
Las Heras,13,64.0000,80.0000,34.0000,163.0000
Alvear,4,78.0000,97.0000,134.0000,273.0000
Arroyo Seco,5,264.0000,268.0000,46.0000,121.0000
Lima,0,303.0000,894.0000,138.0000,548.0000
Santa Fe,10,70.0000,82.0000,11.0000,47.0000
Las Heras,12,62.0000,98.0000,30.0000,166.0000
Luis Viale,18,91.0000,161.0000,130.0000,408.0000
El Club,19,131.0000,211.0000,283.0000,748.0000
Trelles,8,192.0000,167.0000,68.0000,200.0000
Cabildo,13,53.0000,44.0000,21.0000,71.0000
Ovidio Lagos,22,12.0000,40.0000,18.0000,159.0000
Bonpland,11,195.0000,283.0000,176.0000,661.0000
America,7,236.0000,288.0000,null,305.0000
Del Tejar,6,114.0000,49.0000,80.0000,133.0000
El Arco,9,210.0000,193.0000,61.0000,367.0000
Amanecer,11,97.0000,244.0000,null,427.0000
Alvear,13,130.0000,180.0000,192.0000,870.0000
AUBASA BA-LP,18,543.0000,762.0000,748.0000,841.0000
Rosario Sur,11,null,null,null,null
Alsina,11,88.0000,156.0000,66.0000,249.0000
Gral Paz Capital,5,533.0000,139.0000,null,378.0000
Rivadavia,21,null,null,null,null
Villa Luro,23,30.0000,117.0000,23.0000,273.0000
Olivos,4,148.0000,16.0000,58.0000,37.0000
Santa Rita,4,19.0000,121.0000,6.0000,51.0000
Zarate,13,101.0000,84.0000,39.0000,56.0000
Emilio Castro,15,37.0000,87.0000,27.0000,97.0000
El Club,23,62.0000,96.0000,63.0000,450.0000
Florencio Varela,6,133.0000,224.0000,82.0000,152.0000
America,14,66.0000,89.0000,null,282.0000
Gral Paz Capital,18,406.0000,254.0000,null,1020.0000
Rosario Sur,5,null,null,null,null
DISC Echeverria,23,null,null,null,58.0000
Boulevard,5,1.0000,1.0000,null,null
Ovidio Lagos,2,1.0000,30.0000,10.0000,86.0000
El Arco,1,null,null,null,null
CORS EVENTOS,9,41.0000,62.0000,null,null
Ovidio Lagos,14,21.0000,83.0000,23.0000,435.0000
Zarate Brazo Largo,19,219.0000,83.0000,5.0000,113.0000
La Bandera,18,101.0000,35.0000,76.0000,784.0000
Santa Fe,17,43.0000,66.0000,7.0000,38.0000
America,13,69.0000,85.0000,null,254.0000
Santa Rita,10,16.0000,165.0000,40.0000,377.0000
Santa Fe,2,null,null,null,null
Santa Rita,22,9.0000,62.0000,10.0000,152.0000
Garay,4,37.0000,107.0000,26.0000,130.0000
Zarate Brazo Largo,10,212.0000,69.0000,8.0000,362.0000
America,17,82.0000,121.0000,null,422.0000
Maipu,2,78.0000,17.0000,63.0000,134.0000
Alberdi,17,null,null,null,148.0000
Buen Ayre,18,297.0000,344.0000,485.0000,802.0000
AUBASA LP-BA,12,245.0000,447.0000,224.0000,793.0000
Villa Allende,13,78.0000,43.0000,32.0000,425.0000
Alsina,21,41.0000,61.0000,26.0000,363.0000
Maschwitz,7,null,null,null,618.0000
Disc Panamericana,20,1.0000,3.0000,null,7.0000
Bonpland,19,159.0000,161.0000,163.0000,410.0000
Alvear,18,189.0000,250.0000,426.0000,842.0000
Rosario Sur,17,null,null,null,null
Fisherton,7,236.0000,400.0000,null,725.0000
San Isidro,5,107.0000,155.0000,31.0000,31.0000
Gral Paz Provincia,4,172.0000,381.0000,67.0000,205.0000
Gral Paz Provincia,6,444.0000,429.0000,372.0000,357.0000
Cabildo,23,20.0000,30.0000,7.0000,21.0000
Rosario Sur,14,null,null,null,null
Boulevard,21,24.0000,33.0000,10.0000,72.0000
Los Incas,13,117.0000,27.0000,null,6.0000
Fisherton,14,12.0000,174.0000,null,1180.0000
Villa Luro,21,19.0000,66.0000,61.0000,233.0000
Amanecer,16,83.0000,140.0000,null,420.0000
Luis Viale,7,58.0000,313.0000,102.0000,142.0000
Anchorena,8,null,null,8.0000,9.0000
Las Heras,3,28.0000,33.0000,12.0000,48.0000
Gutierrez,19,52.0000,69.0000,70.0000,176.0000
La Bandera,8,216.0000,83.0000,75.0000,367.0000
Santa Fe,21,20.0000,43.0000,4.0000,10.0000
Arroyo Seco,20,748.0000,1034.0000,249.0000,968.0000
Villa Luro,20,46.0000,69.0000,68.0000,315.0000
Amanecer,8,285.0000,432.0000,null,374.0000
Emilio Castro,11,80.0000,134.0000,69.0000,101.0000
Alvear,8,422.0000,524.0000,521.0000,1028.0000
El Arco,6,213.0000,121.0000,35.0000,74.0000
La Carmela,12,66.0000,104.0000,8.0000,99.0000
Amanecer,20,29.0000,74.0000,1.0000,217.0000
Mitre,9,null,null,null,null
Gutierrez,17,101.0000,114.0000,123.0000,268.0000
AUBASA LP-BA,13,163.0000,374.0000,178.0000,778.0000
Maschwitz,5,null,null,null,233.0000
San Isidro,11,182.0000,276.0000,131.0000,634.0000
El Club,22,54.0000,87.0000,75.0000,342.0000
Los Incas,22,29.0000,14.0000,null,7.0000
Santa Fe,5,null,null,null,null
Buen Ayre,22,36.0000,76.0000,40.0000,187.0000
Anchorena,7,null,null,14.0000,10.0000
AUBASA BA-LP,9,864.0000,971.0000,904.0000,1006.0000
AUBASA LP-BA,7,836.0000,707.0000,298.0000,337.0000
Garay,17,69.0000,175.0000,77.0000,654.0000
Gral Paz Capital,19,251.0000,198.0000,null,896.0000
Los Incas,18,90.0000,52.0000,null,6.0000
AUBASA LP-BA,14,221.0000,479.0000,190.0000,1074.0000
Fisherton,21,11.0000,83.0000,null,252.0000
Dialogos,8,287.0000,205.0000,183.0000,171.0000
Boulevard,14,78.0000,98.0000,55.0000,655.0000
Florencio Varela,18,167.0000,60.0000,122.0000,205.0000
Luis Viale,9,46.0000,332.0000,110.0000,238.0000
Villa Allende,16,83.0000,135.0000,57.0000,653.0000
Parque Sarmiento,14,64.0000,136.0000,52.0000,355.0000
Lima,13,303.0000,877.0000,125.0000,1266.0000
Bulnes,3,null,null,null,null
Los Incas,16,82.0000,47.0000,null,4.0000
DISC Echeverria,20,null,null,null,40.0000
Fisherton,0,null,31.0000,null,211.0000
Del Tejar,7,298.0000,83.0000,192.0000,237.0000
Alsina,23,12.0000,87.0000,14.0000,319.0000
Emilio Castro,4,33.0000,56.0000,29.0000,28.0000
Villa Luro,12,86.0000,160.0000,165.0000,481.0000
Del Tejar,2,20.0000,37.0000,13.0000,94.0000
Olivos,18,163.0000,62.0000,149.0000,361.0000
CORS EVENTOS,15,78.0000,245.0000,null,2.0000
Centenera,5,45.0000,125.0000,6.0000,25.0000
Villa Allende,5,1.0000,2.0000,8.0000,35.0000
Disc Panamericana,10,1.0000,31.0000,null,26.0000
Garay,21,37.0000,69.0000,21.0000,208.0000
San Isidro,22,21.0000,52.0000,21.0000,126.0000
Alberdi,3,null,null,null,46.0000
Santa Fe,4,null,null,null,null
Luis Viale,11,24.0000,218.0000,82.0000,455.0000
Del Tejar,13,59.0000,58.0000,80.0000,292.0000
Del Tejar,21,33.0000,38.0000,21.0000,110.0000
Rivadavia,18,null,null,null,null
Ovidio Lagos,15,36.0000,113.0000,22.0000,525.0000
Arroyo Seco,9,1427.0000,1387.0000,383.0000,1255.0000
Alberdi,12,null,null,null,93.0000
Congreso,9,377.0000,197.0000,62.0000,343.0000
Alvear,14,105.0000,220.0000,208.0000,968.0000
Amanecer,19,48.0000,86.0000,null,260.0000
Las Heras,22,19.0000,27.0000,3.0000,73.0000
Zarate,3,4.0000,3.0000,null,null
Bulnes,16,59.0000,73.0000,29.0000,269.0000
Bonpland,9,486.0000,437.0000,417.0000,543.0000
Las Heras,0,15.0000,45.0000,15.0000,75.0000
Floresta,15,31.0000,87.0000,52.0000,171.0000
Dialogos,4,null,null,null,null
CORS EVENTOS,12,21.0000,33.0000,null,2.0000
CORS EVENTOS,7,1.0000,null,null,null
Maipu,6,73.0000,66.0000,70.0000,133.0000
Dialogos,19,127.0000,85.0000,123.0000,239.0000
Emilio Castro,20,26.0000,61.0000,20.0000,66.0000
Las Heras,20,36.0000,41.0000,19.0000,124.0000
Anchorena,4,null,null,6.0000,18.0000
Buen Ayre,12,119.0000,171.0000,152.0000,568.0000
Arroyo Seco,19,1126.0000,1485.0000,418.0000,1297.0000
Luis Viale,21,42.0000,98.0000,36.0000,199.0000
Lima,11,495.0000,1131.0000,207.0000,1411.0000
Ovidio Lagos,13,33.0000,65.0000,18.0000,338.0000
Villa Allende,1,null,1.0000,3.0000,5.0000
Alsina,2,27.0000,127.0000,25.0000,196.0000
Santa Rita,3,8.0000,73.0000,14.0000,56.0000
Alberdi,15,null,null,null,84.0000
Villa Allende,21,26.0000,37.0000,13.0000,179.0000
Disc Panamericana,19,1.0000,14.0000,null,9.0000
