estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Garay,12,3,14.0000,59.0000,6.0000,8.0000,4.0000,55.0000,5.0000,47.0000
Maipu,0,3,13.0000,9.0000,13.0000,,,9.0000,,9.0000
AUBASA BA-LP,5,7,59.0000,16.0000,28.0000,31.0000,2.0000,14.0000,12.0000,11.0000
San Isidro,17,6,44.0000,57.0000,12.0000,32.0000,5.0000,52.0000,7.0000,46.0000
Parque Sarmiento,15,4,15.0000,48.0000,5.0000,10.0000,4.0000,44.0000,3.0000,39.0000
Pilar,15,4,11.0000,43.0000,10.0000,1.0000,6.0000,37.0000,,33.0000
Zarate,10,7,17.0000,4.0000,8.0000,9.0000,,4.0000,,4.0000
El Club,21,4,12.0000,39.0000,5.0000,7.0000,6.0000,33.0000,2.0000,34.0000
Lima,9,6,154.0000,98.0000,73.0000,81.0000,15.0000,83.0000,32.0000,71.0000
El Club,3,6,11.0000,15.0000,7.0000,4.0000,1.0000,14.0000,1.0000,11.0000
Olivos,16,1,12.0000,42.0000,12.0000,,6.0000,36.0000,,35.0000
Garay,19,6,11.0000,42.0000,5.0000,6.0000,1.0000,41.0000,,25.0000
Alberdi,14,6,6.0000,,2.0000,4.0000,,,,
Quilmes,1,6,4.0000,26.0000,1.0000,3.0000,3.0000,23.0000,1.0000,24.0000
Gral Paz Provincia,15,1,35.0000,49.0000,14.0000,21.0000,5.0000,44.0000,6.0000,28.0000
San Isidro,14,2,27.0000,81.0000,8.0000,19.0000,4.0000,77.0000,6.0000,68.0000
Luis Viale,18,7,7.0000,43.0000,3.0000,4.0000,2.0000,41.0000,1.0000,27.0000
Alsina,1,3,7.0000,19.0000,5.0000,2.0000,2.0000,17.0000,,16.0000
Floresta,5,6,16.0000,46.0000,5.0000,11.0000,12.0000,34.0000,,43.0000
Bonpland,3,7,32.0000,81.0000,9.0000,23.0000,19.0000,62.0000,10.0000,60.0000
Del Tejar,11,3,35.0000,81.0000,23.0000,12.0000,10.0000,71.0000,3.0000,59.0000
Zarate Brazo Largo,13,5,11.0000,17.0000,1.0000,10.0000,,17.0000,3.0000,14.0000
Garay,22,1,13.0000,21.0000,1.0000,12.0000,1.0000,20.0000,4.0000,15.0000
Santa Rita,11,1,10.0000,28.0000,1.0000,9.0000,2.0000,26.0000,5.0000,21.0000
El Arco,14,5,5.0000,42.0000,,5.0000,1.0000,41.0000,2.0000,38.0000
Santa Rita,19,7,15.0000,30.0000,6.0000,9.0000,4.0000,26.0000,,24.0000
Gutierrez,5,3,44.0000,5.0000,15.0000,29.0000,1.0000,4.0000,2.0000,3.0000
Boulevard,22,1,4.0000,1.0000,2.0000,2.0000,,1.0000,2.0000,1.0000
Luis Viale,14,7,13.0000,44.0000,3.0000,10.0000,4.0000,40.0000,,23.0000
Los Incas,11,6,16.0000,2.0000,6.0000,10.0000,,2.0000,,2.0000
La Bandera,1,5,1.0000,6.0000,1.0000,,,6.0000,,6.0000
Santa Rita,14,7,24.0000,22.0000,10.0000,14.0000,1.0000,21.0000,5.0000,17.0000
Del Tejar,17,4,24.0000,61.0000,17.0000,7.0000,6.0000,55.0000,2.0000,54.0000
Maipu,12,3,7.0000,37.0000,6.0000,1.0000,5.0000,32.0000,,37.0000
La Carmela,5,5,24.0000,23.0000,9.0000,15.0000,8.0000,15.0000,2.0000,23.0000
Quilmes,22,3,2.0000,15.0000,,2.0000,2.0000,13.0000,,14.0000
Emilio Castro,23,3,5.0000,7.0000,4.0000,1.0000,2.0000,5.0000,,7.0000
Congreso,3,5,15.0000,8.0000,6.0000,9.0000,2.0000,6.0000,3.0000,8.0000
Santa Fe,15,1,5.0000,4.0000,,5.0000,,4.0000,1.0000,3.0000
Garay,20,2,19.0000,35.0000,10.0000,9.0000,6.0000,29.0000,3.0000,23.0000
Ovidio Lagos,7,7,34.0000,9.0000,5.0000,29.0000,2.0000,7.0000,,9.0000
El Arco,6,7,36.0000,22.0000,18.0000,18.0000,5.0000,17.0000,9.0000,18.0000
Santa Fe,17,3,7.0000,2.0000,2.0000,5.0000,,2.0000,2.0000,2.0000
Trelles,11,4,16.0000,23.0000,7.0000,9.0000,1.0000,22.0000,2.0000,15.0000
Centenera,6,2,41.0000,16.0000,32.0000,9.0000,4.0000,12.0000,5.0000,10.0000
Dialogos,9,2,28.0000,28.0000,22.0000,6.0000,4.0000,24.0000,2.0000,19.0000
Bonpland,5,2,18.0000,48.0000,7.0000,11.0000,9.0000,39.0000,3.0000,42.0000
Trelles,20,6,2.0000,14.0000,1.0000,1.0000,1.0000,13.0000,,12.0000
AUBASA BA-LP,22,6,29.0000,28.0000,8.0000,21.0000,3.0000,25.0000,5.0000,19.0000
Amanecer,17,1,13.0000,30.0000,7.0000,6.0000,5.0000,25.0000,2.0000,28.0000
CORS EVENTOS,16,6,5.0000,,,5.0000,,,,
Olivos,14,4,21.0000,46.0000,21.0000,,8.0000,38.0000,,45.0000
CORS Alem,12,7,21.0000,,15.0000,6.0000,,,,
Cabildo,10,1,14.0000,3.0000,8.0000,6.0000,1.0000,2.0000,,3.0000
Alvear,2,7,38.0000,62.0000,13.0000,25.0000,7.0000,55.0000,14.0000,55.0000
Parque Sarmiento,8,7,43.0000,35.0000,22.0000,21.0000,7.0000,28.0000,8.0000,27.0000
Pilar,21,3,4.0000,4.0000,4.0000,,,4.0000,,4.0000
Santa Rita,19,6,21.0000,38.0000,10.0000,11.0000,7.0000,31.0000,6.0000,28.0000
Zarate Brazo Largo,22,1,12.0000,7.0000,2.0000,10.0000,,7.0000,3.0000,5.0000
Villa Luro,22,1,8.0000,27.0000,,8.0000,2.0000,25.0000,5.0000,22.0000
Florencio Varela,21,4,8.0000,8.0000,2.0000,6.0000,6.0000,2.0000,1.0000,8.0000
Gutierrez,14,1,9.0000,20.0000,5.0000,4.0000,5.0000,15.0000,,15.0000
AUBASA BA-LP,2,4,16.0000,6.0000,3.0000,13.0000,,6.0000,5.0000,2.0000
San Isidro,2,7,19.0000,15.0000,4.0000,15.0000,2.0000,13.0000,,15.0000
Alsina,15,3,13.0000,36.0000,5.0000,8.0000,9.0000,27.0000,3.0000,27.0000
Los Incas,9,5,33.0000,2.0000,13.0000,20.0000,,2.0000,,2.0000
Maipu,2,7,12.0000,22.0000,12.0000,,5.0000,17.0000,,22.0000
Alsina,18,3,20.0000,23.0000,13.0000,7.0000,5.0000,18.0000,1.0000,19.0000
Congreso,3,2,9.0000,4.0000,3.0000,6.0000,1.0000,3.0000,2.0000,4.0000
Pilar,16,1,7.0000,9.0000,4.0000,3.0000,3.0000,6.0000,2.0000,9.0000
La Bandera,4,4,,2.0000,,,1.0000,1.0000,,2.0000
Alberdi,1,4,3.0000,,3.0000,,,,,
El Club,2,4,1.0000,21.0000,1.0000,,3.0000,18.0000,,20.0000
Zarate Brazo Largo,3,3,9.0000,2.0000,2.0000,7.0000,,2.0000,3.0000,1.0000
El Arco,15,1,10.0000,22.0000,2.0000,8.0000,,22.0000,7.0000,17.0000
Villa Luro,0,7,20.0000,68.0000,10.0000,10.0000,6.0000,62.0000,1.0000,43.0000
Las Heras,13,3,14.0000,31.0000,2.0000,12.0000,4.0000,27.0000,7.0000,31.0000
Florencio Varela,15,6,11.0000,28.0000,3.0000,8.0000,1.0000,27.0000,1.0000,28.0000
Ovidio Lagos,5,3,7.0000,17.0000,,7.0000,2.0000,15.0000,,16.0000
Los Incas,7,7,25.0000,3.0000,18.0000,7.0000,,3.0000,,3.0000
Alberdi,19,1,6.0000,,6.0000,,,,,
America,13,4,7.0000,39.0000,3.0000,4.0000,1.0000,38.0000,2.0000,21.0000
Zarate,15,6,8.0000,7.0000,6.0000,2.0000,,7.0000,,7.0000
Rivadavia,16,5,3.0000,,,3.0000,,,,
Santa Rita,23,1,4.0000,5.0000,3.0000,1.0000,,5.0000,,5.0000
Olivos,4,2,4.0000,4.0000,3.0000,1.0000,,4.0000,,4.0000
Bonpland,23,2,19.0000,35.0000,7.0000,12.0000,6.0000,29.0000,6.0000,22.0000
Santa Rita,3,2,12.0000,6.0000,11.0000,1.0000,2.0000,4.0000,,5.0000
Santa Rita,21,4,6.0000,4.0000,4.0000,2.0000,1.0000,3.0000,1.0000,3.0000
Alsina,8,7,38.0000,22.0000,30.0000,8.0000,5.0000,17.0000,,18.0000
El Club,5,5,19.0000,10.0000,12.0000,7.0000,7.0000,3.0000,2.0000,9.0000
Gutierrez,16,5,14.0000,39.0000,7.0000,7.0000,4.0000,35.0000,3.0000,30.0000
Olivos,23,5,2.0000,10.0000,2.0000,,3.0000,7.0000,,10.0000
Pilar,12,7,7.0000,23.0000,4.0000,3.0000,4.0000,19.0000,,19.0000
Rivadavia,12,4,4.0000,,2.0000,2.0000,,,,
Garay,22,4,11.0000,25.0000,5.0000,6.0000,3.0000,22.0000,3.0000,22.0000
