estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
Santa Rita,3,4,,3.0000
Dialogos,7,2,,16.0000
Alsina,7,2,9.0000,12.0000
Boulevard,13,4,,4.0000
Gral Paz Capital,1,4,1.0000,6.0000
Gutierrez,15,3,4.0000,16.0000
Florencio Varela,6,1,4.0000,7.0000
Centenera,16,2,1.0000,16.0000
Lima,11,6,50.0000,136.0000
Bonpland,8,7,6.0000,42.0000
Ovidio Lagos,11,2,,3.0000
Lima,0,3,19.0000,21.0000
El Club,6,5,10.0000,24.0000
Buen Ayre,4,3,11.0000,3.0000
Amanecer,6,5,12.0000,13.0000
Bonpland,22,5,,7.0000
Arroyo Seco,9,4,99.0000,167.0000
Gutierrez,5,1,5.0000,6.0000
Luis Viale,9,3,17.0000,20.0000
Olivos,9,3,4.0000,6.0000
Santa Fe,9,4,7.0000,4.0000
Florencio Varela,23,5,,
Del Tejar,14,5,,5.0000
AUBASA LP-BA,20,7,6.0000,4.0000
Emilio Castro,17,3,3.0000,
Gutierrez,18,5,4.0000,12.0000
Arroyo Seco,17,1,70.0000,78.0000
Centenera,13,6,3.0000,7.0000
Buen Ayre,16,1,8.0000,36.0000
Cabildo,21,2,,
CORS Alem,9,4,17.0000,
Bonpland,2,7,,8.0000
Alsina,23,1,,4.0000
Alvear,14,4,4.0000,22.0000
AUBASA BA-LP,13,6,11.0000,20.0000
Dialogos,8,5,4.0000,17.0000
Congreso,7,2,10.0000,6.0000
La Carmela,17,2,,
Amanecer,10,6,7.0000,11.0000
Olivos,19,7,,7.0000
Las Heras,17,2,6.0000,1.0000
Buen Ayre,8,7,56.0000,66.0000
El Club,19,1,5.0000,22.0000
AUBASA LP-BA,11,5,13.0000,49.0000
Gral Paz Capital,21,3,5.0000,4.0000
Luis Viale,16,5,,18.0000
Villa Luro,6,6,8.0000,13.0000
El Arco,16,5,,21.0000
Arroyo Seco,8,6,146.0000,223.0000
AUBASA BA-LP,11,6,33.0000,64.0000
Alvear,19,7,7.0000,18.0000
Maipu,8,5,,2.0000
Amanecer,17,5,1.0000,6.0000
Gutierrez,13,6,1.0000,2.0000
Maipu,7,2,,
La Bandera,8,2,40.0000,
San Isidro,11,1,7.0000,26.0000
Pilar,5,1,,2.0000
El Club,17,7,1.0000,41.0000
El Club,17,6,6.0000,28.0000
Emilio Castro,8,6,11.0000,2.0000
Santa Rita,5,7,6.0000,1.0000
Santa Fe,9,6,10.0000,12.0000
Pilar,18,2,,1.0000
Zarate Brazo Largo,12,5,4.0000,8.0000
Amanecer,7,7,24.0000,11.0000
Dialogos,8,7,3.0000,12.0000
Gral Paz Provincia,22,6,,6.0000
Maipu,16,5,,
Alvear,14,2,1.0000,24.0000
Bonpland,2,1,1.0000,14.0000
Gral Paz Capital,21,5,4.0000,1.0000
Bonpland,4,4,,3.0000
Villa Luro,3,6,1.0000,9.0000
San Isidro,5,1,,1.0000
AUBASA BA-LP,17,3,23.0000,42.0000
America,5,3,2.0000,5.0000
Zarate Brazo Largo,9,7,27.0000,57.0000
AUBASA BA-LP,8,6,56.0000,92.0000
AUBASA LP-BA,9,5,36.0000,52.0000
Fisherton,10,3,9.0000,3.0000
San Isidro,4,5,,2.0000
Alsina,6,4,7.0000,6.0000
El Club,6,7,4.0000,7.0000
San Isidro,16,7,,20.0000
Emilio Castro,13,3,,
Cabildo,17,3,,
AUBASA BA-LP,10,3,43.0000,77.0000
Ovidio Lagos,13,4,,1.0000
Pilar,5,5,7.0000,
Zarate,5,7,,
Olivos,7,2,2.0000,3.0000
La Carmela,4,7,,1.0000
Gral Paz Provincia,12,2,3.0000,13.0000
Santa Rita,12,4,2.0000,6.0000
Del Tejar,18,4,,12.0000
Garay,19,5,5.0000,23.0000
Gral Paz Provincia,11,1,16.0000,32.0000
Boulevard,18,6,7.0000,20.0000
Zarate Brazo Largo,9,4,17.0000,52.0000
Buen Ayre,9,5,69.0000,135.0000
Floresta,5,1,10.0000,4.0000
Bonpland,8,4,15.0000,88.0000
San Isidro,10,5,8.0000,53.0000
Laferrere,8,4,6.0000,
San Isidro,14,6,1.0000,10.0000
AUBASA BA-LP,19,3,9.0000,14.0000
Congreso,15,2,2.0000,12.0000
Garay,10,1,7.0000,18.0000
Zarate Brazo Largo,12,4,2.0000,12.0000
Bulnes,16,4,1.0000,4.0000
Villa Allende,10,2,26.0000,44.0000
Florencio Varela,5,7,12.0000,
Olivos,6,1,,3.0000
AUBASA BA-LP,12,3,9.0000,29.0000
La Carmela,11,6,,
