estacion,hora,dia_semana,q_cafes_llevar_mas_1
Santa Rita,3,2,7.0000
Maipu,8,2,14.0000
El Club,3,6,11.0000
Centenera,6,2,18.0000
Alberdi,8,3,16.0000
Alsina,1,3,4.0000
Villa Luro,2,3,6.0000
Emilio Castro,22,4,4.0000
Zarate Brazo Largo,23,5,29.0000
Emilio Castro,6,1,17.0000
Zarate,14,6,2.0000
La Bandera,21,5,2.0000
Maipu,14,1,2.0000
Parque Sarmiento,14,2,10.0000
San Isidro,18,1,15.0000
Olivos,3,6,6.0000
San Isidro,23,5,
Garay,20,2,14.0000
Rosario Sur,14,6,4.0000
Laferrere,15,2,
Santa Fe,19,3,12.0000
Trelles,6,5,34.0000
Zarate,23,6,18.0000
Los Incas,16,2,14.0000
Maschwitz,20,5,10.0000
Emilio Castro,17,3,8.0000
Villa Luro,22,1,9.0000
Maipu,0,3,12.0000
Garay,4,4,8.0000
Olivos,0,2,12.0000
Cabildo,12,5,6.0000
Los Incas,15,3,6.0000
Floresta,1,4,4.0000
Amanecer,21,5,6.0000
Olivos,18,4,27.0000
Los Incas,0,4,2.0000
Ovidio Lagos,21,5,2.0000
Pilar,3,2,10.0000
Boulevard,3,3,2.0000
Maschwitz,15,2,4.0000
Amanecer,17,1,33.0000
Del Tejar,23,7,8.0000
Congreso,13,1,18.0000
CORS Alem,18,4,94.0000
CORS EVENTOS,22,4,6.0000
Olivos,21,4,2.0000
Fisherton,4,6,20.0000
Trelles,12,7,13.0000
Maipu,12,3,9.0000
CORS EVENTOS,10,6,2.0000
Santa Fe,17,3,14.0000
Maschwitz,10,2,23.0000
Ovidio Lagos,1,7,6.0000
Olivos,23,5,4.0000
La Bandera,1,5,4.0000
San Isidro,2,3,4.0000
Bulnes,14,7,2.0000
Alsina,21,7,
CORS EVENTOS,16,1,4.0000
Cabildo,22,7,2.0000
Zarate,11,3,19.0000
Santa Rita,0,6,4.0000
Garay,2,2,4.0000
Alberdi,14,6,9.0000
Zarate,3,2,10.0000
Trelles,20,6,6.0000
Olivos,23,4,4.0000
Laferrere,22,4,13.0000
Las Heras,13,3,8.0000
America,1,3,10.0000
Cabildo,10,1,8.0000
Boulevard,23,2,10.0000
Cabildo,21,3,6.0000
Zarate,13,4,8.0000
Centenera,22,6,2.0000
Gutierrez,23,2,6.0000
Bonpland,22,2,6.0000
Maschwitz,22,5,4.0000
Santa Fe,7,3,27.0000
Maipu,21,6,2.0000
Emilio Castro,1,3,2.0000
Quilmes,17,1,16.0000
Amanecer,4,6,9.0000
Bulnes,8,1,6.0000
Trelles,22,7,6.0000
Cabildo,6,7,12.0000
La Carmela,4,5,4.0000
Maschwitz,23,3,11.0000
Quilmes,22,5,
Los Incas,15,7,4.0000
Luis Viale,5,5,10.0000
Pilar,3,6,8.0000
Trelles,16,4,18.0000
Santa Rita,23,4,8.0000
Santa Rita,21,4,3.0000
Maschwitz,5,5,6.0000
Floresta,4,3,2.0000
Boulevard,22,2,5.0000
Villa Allende,22,2,2.0000
Las Heras,1,2,5.0000
OPERADOR LOGISTICO 2,13,2,
Dialogos,3,3,12.0000
Maipu,2,7,12.0000
CORS EVENTOS,20,4,11.0000
Alsina,0,4,9.0000
Santa Fe,11,3,22.0000
Centenera,2,2,7.0000
Quilmes,0,5,4.0000
Fisherton,3,3,19.0000
Rivadavia,14,3,3.0000
Las Heras,22,4,2.0000
San Isidro,21,7,2.0000
Garay,1,4,2.0000
Emilio Castro,5,4,5.0000
Cabildo,7,4,10.0000
San Isidro,22,4,4.0000
Maschwitz,15,1,4.0000
Centenera,5,4,6.0000
Garay,22,1,3.0000
Rivadavia,10,2,10.0000
Trelles,4,7,7.0000
Las Heras,13,7,11.0000
Parque Sarmiento,3,6,2.0000
Alsina,14,2,2.0000
Maipu,6,6,3.0000
Villa Luro,2,5,7.0000
Los Incas,17,7,6.0000
Del Tejar,0,5,2.0000
Santa Fe,21,7,2.0000
Zarate,15,5,17.0000
Cabildo,8,5,6.0000
Las Heras,1,5,6.0000
Floresta,18,3,17.0000
Amanecer,4,2,7.0000
Laferrere,2,6,
La Carmela,19,3,20.0000
Boulevard,22,1,6.0000
Cabildo,18,7,12.0000
Maipu,4,5,3.0000
Santa Rita,23,1,4.0000
Cabildo,0,3,2.0000
Quilmes,4,3,6.0000
Rosario Sur,11,1,4.0000
Rosario Sur,19,6,2.0000
Santa Fe,15,1,9.0000
Santa Rita,22,2,
Olivos,4,2,4.0000
Santa Fe,19,6,12.0000
Maschwitz,13,5,4.0000
CORS EVENTOS,13,6,2.0000
Ovidio Lagos,3,4,1.0000
Garay,22,4,5.0000
Trelles,14,1,4.0000
CORS EVENTOS,11,4,2.0000
Alberdi,4,7,2.0000
Los Incas,1,2,6.0000
Alberdi,21,6,3.0000
Fisherton,2,4,4.0000
Zarate,12,2,12.0000
Centenera,3,4,6.0000
Las Heras,21,7,6.0000
Santa Fe,14,1,6.0000
OPERADOR LOGISTICO,11,4,
Zarate,16,3,6.0000
Rivadavia,7,3,4.0000
Maschwitz,21,3,4.0000
OPERADOR LOGISTICO,17,3,
San Isidro,4,2,2.0000
OPERADOR LOGISTICO,11,5,
Zarate Brazo Largo,2,2,12.0000
Maschwitz,14,4,2.0000
Boulevard,2,3,4.0000
Cabildo,22,5,
Rivadavia,8,6,4.0000
Boulevard,23,3,
Rosario Sur,5,5,4.0000
Parque Sarmiento,1,4,
Maschwitz,19,2,3.0000
Rosario Sur,10,7,4.0000
Los Incas,22,3,2.0000
CORS EVENTOS,0,3,5.0000
Maschwitz,21,2,2.0000
Alberdi,1,4,2.0000
Los Incas,0,2,6.0000
CORS EVENTOS,13,4,3.0000
CORS EVENTOS,18,1,2.0000
CORS EVENTOS,13,3,2.0000
Rivadavia,9,1,2.0000
Maipu,3,2,6.0000
Cabildo,1,4,
CORS EVENTOS,21,7,11.0000
Rivadavia,8,2,6.0000
Rosario Sur,11,3,2.0000
Rivadavia,16,5,2.0000
Rivadavia,12,4,2.0000
Los Incas,17,1,6.0000
Maschwitz,23,5,4.0000
CORS EVENTOS,15,3,2.0000
Alberdi,5,3,4.0000
OPERADOR LOGISTICO,9,3,
Arroyo Seco,17,1,952.0000
Buen Ayre,16,1,142.0000
Alsina,23,1,4.0000
Bonpland,2,7,11.0000
El Club,19,1,84.0000
Buen Ayre,8,7,509.0000
Congreso,7,2,24.0000
Olivos,19,7,20.0000
AUBASA BA-LP,13,6,115.0000
AUBASA LP-BA,5,3,67.0000
AUBASA LP-BA,11,5,133.0000
Villa Allende,16,7,8.0000
Luis Viale,16,5,12.0000
Villa Luro,6,6,88.0000
El Arco,16,5,19.0000
AUBASA BA-LP,11,6,306.0000
Pilar,18,2,25.0000
Gral Paz Capital,21,5,17.0000
Maipu,8,5,22.0000
San Isidro,11,1,34.0000
Alvear,19,7,70.0000
Amanecer,17,5,30.0000
El Club,17,6,71.0000
Olivos,2,1,29.0000
Pilar,5,1,33.0000
Arroyo Seco,8,6,1049.0000
AUBASA BA-LP,0,5,49.0000
Santa Fe,9,6,39.0000
El Club,17,7,55.0000
Dialogos,8,7,51.0000
Alvear,14,2,20.0000
Maipu,16,5,3.0000
Bonpland,2,1,26.0000
OPERADOR LOGISTICO 2,7,6,
Boulevard,14,1,8.0000
El Arco,12,5,12.0000
AUBASA BA-LP,10,3,248.0000
Fisherton,10,3,26.0000
Zarate Brazo Largo,9,7,211.0000
AUBASA LP-BA,9,5,315.0000
El Club,6,7,46.0000
AUBASA BA-LP,8,6,550.0000
Gral Paz Capital,3,3,63.0000
AUBASA BA-LP,17,3,180.0000
Parque Sarmiento,10,2,48.0000
Villa Luro,3,6,4.0000
Gral Paz Provincia,11,1,177.0000
AUBASA LP-BA,12,1,140.0000
Maschwitz,6,5,14.0000
Boulevard,18,6,29.0000
Zarate Brazo Largo,9,4,83.0000
Bonpland,8,4,64.0000
Buen Ayre,9,5,418.0000
Laferrere,8,4,21.0000
San Isidro,14,6,12.0000
AUBASA BA-LP,19,3,113.0000
Villa Allende,10,2,44.0000
Zarate Brazo Largo,16,4,32.0000
Amanecer,16,1,15.0000
Florencio Varela,15,5,19.0000
Garay,19,5,14.0000
Santa Rita,5,2,8.0000
Bulnes,7,3,28.0000
Arroyo Seco,16,7,560.0000
Luis Viale,10,3,18.0000
AUBASA BA-LP,17,6,312.0000
Gral Paz Provincia,9,5,226.0000
Ovidio Lagos,14,5,
Lima,19,4,290.0000
La Bandera,16,7,9.0000
Centenera,12,4,6.0000
Santa Fe,8,1,63.0000
