estacion,hora,dia_semana,q_cafes_llevar_algo_otros_sinbakery_negro_caramelonochoco,q_cafes_local_algo_otros_sinbakery_negro_caramelonochoco
Buen Ayre,23,2,2.0000,2.0000
AUBASA BA-LP,0,4,6.0000,7.0000
Zarate,23,6,,
Dialogos,15,4,,
Cabildo,21,3,,
Alvear,13,4,1.0000,11.0000
AUBASA LP-BA,13,4,12.0000,11.0000
Olivos,7,6,1.0000,
Trelles,5,7,,3.0000
Gral Paz Capital,19,7,,2.0000
Florencio Varela,16,1,,
America,9,1,2.0000,2.0000
La Carmela,7,7,,
Amanecer,14,2,,
Florencio Varela,9,6,,4.0000
Emilio Castro,9,6,1.0000,
Ovidio Lagos,1,1,,
Zarate,13,4,,
Laferrere,2,6,,
El Arco,0,6,2.0000,1.0000
Del Tejar,14,7,,2.0000
Olivos,21,4,,
Alvear,12,5,2.0000,6.0000
El Arco,13,7,,
Gutierrez,15,2,4.0000,2.0000
Floresta,2,1,1.0000,
Gutierrez,12,3,2.0000,4.0000
Quilmes,19,4,,1.0000
Laferrere,3,6,9.0000,
Santa Rita,7,2,3.0000,1.0000
Fisherton,19,5,,
Dialogos,3,3,,
Villa Allende,22,2,,1.0000
Bulnes,20,5,,
Anchorena,6,4,,
El Arco,9,4,4.0000,4.0000
Villa Luro,17,3,2.0000,17.0000
Parque Sarmiento,10,7,5.0000,8.0000
Arroyo Seco,14,6,31.0000,41.0000
Gral Paz Provincia,18,3,3.0000,6.0000
Ovidio Lagos,21,5,,
Zarate Brazo Largo,5,1,1.0000,
Amanecer,1,3,1.0000,
Gutierrez,21,6,,1.0000
Alvear,22,6,1.0000,12.0000
Alvear,4,1,6.0000,3.0000
AUBASA LP-BA,15,4,8.0000,41.0000
La Carmela,9,3,,
Luis Viale,5,5,2.0000,
San Isidro,21,7,,
Bonpland,6,6,5.0000,2.0000
Gral Paz Capital,9,3,10.0000,7.0000
Boulevard,15,7,3.0000,2.0000
Los Incas,16,2,,
Del Tejar,13,4,,1.0000
Lima,2,1,26.0000,
Fisherton,19,7,1.0000,2.0000
Zarate,9,6,,
Congreso,16,7,4.0000,
Boulevard,2,3,4.0000,
Amanecer,10,5,7.0000,
Florencio Varela,20,1,1.0000,1.0000
Trelles,21,6,,
Centenera,18,5,2.0000,1.0000
Alvear,15,4,3.0000,20.0000
Arroyo Seco,18,2,34.0000,7.0000
Gral Paz Provincia,6,4,10.0000,8.0000
El Club,21,1,,6.0000
Arroyo Seco,9,5,30.0000,15.0000
AUBASA LP-BA,5,2,3.0000,
Quilmes,5,4,,1.0000
Gral Paz Provincia,7,6,8.0000,6.0000
Congreso,10,6,2.0000,4.0000
Gral Paz Capital,5,7,4.0000,4.0000
Santa Rita,22,2,,
Laferrere,3,7,1.0000,
Ovidio Lagos,20,1,,
Florencio Varela,15,3,,
La Carmela,19,3,,
Alsina,0,5,,
Gutierrez,19,6,2.0000,5.0000
Maschwitz,13,5,,
Lima,13,3,17.0000,12.0000
Villa Allende,9,2,4.0000,2.0000
Pilar,17,2,1.0000,
Alsina,21,7,,3.0000
Luis Viale,14,2,1.0000,14.0000
El Club,14,2,2.0000,10.0000
Luis Viale,12,2,2.0000,6.0000
San Isidro,17,1,,3.0000
Maschwitz,20,5,,
Centenera,22,6,1.0000,
Olivos,2,6,,
Maschwitz,16,4,,
Pilar,16,6,,
Gutierrez,16,7,5.0000,5.0000
Bulnes,23,6,,
Bonpland,7,6,5.0000,2.0000
Floresta,10,4,2.0000,
Dialogos,2,7,,
Alvear,20,4,2.0000,11.0000
Pilar,8,6,2.0000,2.0000
Maschwitz,19,2,,
Lima,13,2,15.0000,23.0000
El Club,0,3,1.0000,4.0000
Lima,21,5,14.0000,2.0000
Dialogos,7,2,4.0000,1.0000
Alvear,8,7,7.0000,5.0000
Maipu,18,5,,
Emilio Castro,4,7,,
Lima,11,3,21.0000,17.0000
Gral Paz Capital,15,3,3.0000,6.0000
Ovidio Lagos,0,7,,
Gutierrez,15,3,2.0000,4.0000
Arroyo Seco,17,3,30.0000,20.0000
Parque Sarmiento,5,3,,
Florencio Varela,6,1,7.0000,
Boulevard,13,4,,
Garay,18,6,1.0000,2.0000
CORS Alem,7,6,2.0000,
Los Incas,17,7,,
Gral Paz Capital,1,4,2.0000,1.0000
Alsina,1,4,,1.0000
Los Incas,9,2,,
Lima,5,7,13.0000,4.0000
Florencio Varela,23,5,6.0000,
Centenera,16,2,3.0000,1.0000
Lima,0,3,12.0000,12.0000
Arroyo Seco,9,4,18.0000,7.0000
Gutierrez,18,5,4.0000,3.0000
AUBASA LP-BA,20,7,7.0000,7.0000
Bonpland,8,7,3.0000,2.0000
Buen Ayre,4,3,4.0000,1.0000
Del Tejar,14,5,,1.0000
El Club,6,5,1.0000,3.0000
Zarate,22,6,,
Boulevard,19,2,1.0000,4.0000
Luis Viale,9,3,,5.0000
Zarate,23,3,,
Gutierrez,5,1,,
