estacion,hora,dia_semana,q_cafes_local_mas_1
OPERADOR LOGISTICO 2,7,6,70341.0000
AUBASA LP-BA,9,5,333.0000
AUBASA BA-LP,8,6,707.0000
AUBASA BA-LP,10,3,512.0000
San Isidro,16,7,94.0000
AUBASA BA-LP,17,3,447.0000
Zarate Brazo Largo,9,7,423.0000
Parque Sarmiento,10,2,131.0000
Gral Paz Capital,2,6,56.0000
Gral Paz Provincia,12,2,136.0000
Olivos,7,2,54.0000
Gral Paz Capital,3,3,34.0000
America,21,3,26.0000
Buen Ayre,9,5,909.0000
Santa Rita,5,2,44.0000
AUBASA BA-LP,12,3,188.0000
Bulnes,16,4,66.0000
Garay,10,1,82.0000
San Isidro,10,5,273.0000
Gral Paz Provincia,11,1,272.0000
Zarate Brazo Largo,9,4,214.0000
Villa Allende,10,2,224.0000
Bonpland,8,4,175.0000
AUBASA LP-BA,12,1,221.0000
San Isidro,14,6,82.0000
Buen Ayre,2,3,27.0000
AUBASA BA-LP,19,3,218.0000
Arroyo Seco,16,7,973.0000
Gral Paz Provincia,9,5,395.0000
Boulevard,16,3,102.0000
AUBASA BA-LP,17,6,472.0000
Lima,19,4,387.0000
Emilio Castro,0,3,9.0000
El Arco,12,2,153.0000
Luis Viale,10,3,139.0000
Santa Rita,17,2,124.0000
Alvear,2,5,75.0000
Del Tejar,19,5,76.0000
Amanecer,6,1,168.0000
Buen Ayre,13,3,237.0000
La Bandera,16,7,114.0000
Bulnes,7,3,125.0000
La Carmela,5,6,58.0000
Villa Allende,18,4,173.0000
Ovidio Lagos,9,5,153.0000
Zarate,6,5,34.0000
Cabildo,14,3,9.0000
Arroyo Seco,6,1,589.0000
Zarate Brazo Largo,5,6,69.0000
Alvear,17,2,270.0000
