estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Bonpland,18,48.0000,29.0000,249.0000,83.0000
Zarate,17,22.0000,5.0000,15.0000,10.0000
La Carmela,21,8.0000,3.0000,12.0000,18.0000
Villa Luro,22,1.0000,2.0000,15.0000,28.0000
Gral Paz Provincia,0,12.0000,17.0000,43.0000,49.0000
Villa Luro,15,36.0000,17.0000,131.0000,105.0000
Laferrere,9,53.0000,37.0000,122.0000,13.0000
AUBASA BA-LP,13,58.0000,118.0000,138.0000,250.0000
El Club,5,18.0000,15.0000,35.0000,23.0000
Olivos,2,16.0000,3.0000,17.0000,7.0000
Gutierrez,9,19.0000,25.0000,94.0000,37.0000
Trelles,5,8.0000,9.0000,6.0000,8.0000
Libertador,5,11.0000,6.0000,42.0000,5.0000
Bonpland,16,38.0000,25.0000,159.0000,86.0000
Parque Sarmiento,10,44.0000,25.0000,86.0000,73.0000
El Club,1,5.0000,10.0000,13.0000,32.0000
La Bandera,9,16.0000,9.0000,37.0000,10.0000
Ovidio Lagos,8,1.0000,6.0000,12.0000,18.0000
Gral Paz Capital,8,271.0000,177.0000,null,617.0000
Lima,6,46.0000,25.0000,27.0000,32.0000
Bulnes,18,5.0000,3.0000,31.0000,17.0000
Maipu,21,4.0000,6.0000,14.0000,14.0000
Maipu,19,6.0000,4.0000,32.0000,27.0000
Garay,3,6.0000,4.0000,11.0000,12.0000
Laferrere,14,3.0000,4.0000,28.0000,12.0000
La Carmela,1,7.0000,7.0000,21.0000,13.0000
Las Heras,14,9.0000,7.0000,10.0000,10.0000
Boulevard,12,7.0000,10.0000,35.0000,55.0000
Dialogos,12,13.0000,13.0000,39.0000,31.0000
Olivos,7,139.0000,18.0000,199.0000,37.0000
El Club,16,41.0000,36.0000,341.0000,177.0000
La Carmela,16,20.0000,18.0000,29.0000,24.0000
Florencio Varela,0,1.0000,4.0000,3.0000,7.0000
Villa Allende,12,4.0000,2.0000,28.0000,17.0000
La Carmela,2,18.0000,16.0000,11.0000,11.0000
Gral Paz Provincia,14,26.0000,19.0000,93.0000,112.0000
La Carmela,0,7.0000,9.0000,8.0000,5.0000
Centenera,13,6.0000,4.0000,35.0000,26.0000
Libertador,1,6.0000,7.0000,8.0000,5.0000
AUBASA LP-BA,2,30.0000,40.0000,18.0000,27.0000
Arroyo Seco,2,29.0000,31.0000,24.0000,21.0000
Santa Fe,11,2.0000,4.0000,2.0000,7.0000
Quilmes,8,136.0000,69.0000,231.0000,98.0000
Bonpland,3,29.0000,8.0000,32.0000,22.0000
El Club,0,5.0000,7.0000,11.0000,35.0000
Buen Ayre,0,4.0000,5.0000,15.0000,18.0000
Gral Paz Capital,9,285.0000,212.0000,null,700.0000
Maipu,13,10.0000,2.0000,61.0000,21.0000
Maipu,12,6.0000,2.0000,40.0000,27.0000
Luis Viale,22,4.0000,1.0000,5.0000,10.0000
La Bandera,20,6.0000,null,12.0000,10.0000
