estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Las Heras,16,2,40.0000,121.0000,14.0000,26.0000,30.0000,91.0000
Buen Ayre,1,3,67.0000,45.0000,33.0000,34.0000,14.0000,31.0000
Alvear,7,3,284.0000,835.0000,146.0000,138.0000,304.0000,531.0000
Quilmes,19,5,20.0000,105.0000,1.0000,19.0000,41.0000,64.0000
Arroyo Seco,12,1,585.0000,716.0000,302.0000,283.0000,317.0000,399.0000
Los Incas,13,2,29.0000,2.0000,14.0000,15.0000,,2.0000
La Carmela,20,3,33.0000,29.0000,17.0000,16.0000,14.0000,15.0000
Amanecer,23,5,25.0000,57.0000,9.0000,16.0000,5.0000,52.0000
Centenera,8,7,102.0000,208.0000,65.0000,37.0000,58.0000,150.0000
Bonpland,13,7,41.0000,159.0000,18.0000,23.0000,42.0000,117.0000
Gutierrez,1,1,42.0000,51.0000,24.0000,18.0000,19.0000,32.0000
El Club,18,1,126.0000,774.0000,51.0000,75.0000,309.0000,465.0000
Santa Fe,6,2,31.0000,7.0000,19.0000,12.0000,1.0000,6.0000
Bulnes,2,5,,,,,,
Anchorena,12,5,,,,,,
Villa Luro,17,6,71.0000,345.0000,40.0000,31.0000,138.0000,207.0000
Trelles,12,1,28.0000,34.0000,10.0000,18.0000,8.0000,26.0000
Villa Allende,15,7,9.0000,76.0000,,9.0000,8.0000,68.0000
Maipu,17,1,22.0000,83.0000,20.0000,2.0000,26.0000,57.0000
Villa Luro,23,3,18.0000,79.0000,7.0000,11.0000,20.0000,59.0000
Villa Allende,5,7,10.0000,10.0000,3.0000,7.0000,6.0000,4.0000
Alberdi,3,4,2.0000,,1.0000,1.0000,,
OPERADOR LOGISTICO 2,20,3,,7986.0000,,,,7986.0000
OPERADOR LOGISTICO 2,12,3,,7899.0000,,,,7899.0000
OPERADOR LOGISTICO,14,3,,,,,,
OPERADOR LOGISTICO 2,11,1,,1606.0000,,,,1606.0000
CORS Alem,19,2,4.0000,,2.0000,2.0000,,
CORS Alem,0,3,16.0000,,5.0000,11.0000,,
CORS EVENTOS,16,3,15.0000,,,15.0000,,
CORS EVENTOS,10,1,,,,,,
